code,name,point_code,note1,note2
K046-2 3,観血的整復固定術（インプラント周囲骨折に対するもの） 手、足、指（手、足） ,B69 30 04,部位が手指骨,
K046-2 3,観血的整復固定術（インプラント周囲骨折に対するもの） 手、足、指（手、足） ,BBH 30 04,部位が足根骨,
K046-2 3,観血的整復固定術（インプラント周囲骨折に対するもの） 手、足、指（手、足） ,BBJ 30 04,部位が中足骨,
K046-2 3,観血的整復固定術（インプラント周囲骨折に対するもの） 手、足、指（手、足） ,BBK 30 04,部位が足趾骨,
K046-3,一時的創外固定骨折治療術,B74 30 14,部位が胸郭,
K046-3,一時的創外固定骨折治療術,B24 30 14,部位が鎖骨,
K046-3,一時的創外固定骨折治療術,B25 30 14,部位が肩甲骨,
K046-3,一時的創外固定骨折治療術,B23 30 14,部位が上腕骨,
K046-3,一時的創外固定骨折治療術,B44 30 14,部位が前腕骨,
K046-3,一時的創外固定骨折治療術,B61 30 14,部位が手根骨,
K046-3,一時的創外固定骨折治療術,B68 30 14,部位が中手骨,
K046-3,一時的創外固定骨折治療術,B69 30 14,部位が手指骨,
K046-3,一時的創外固定骨折治療術,B94 30 14,部位が大腿骨,
K046-3,一時的創外固定骨折治療術,BAB 30 14,部位が膝蓋骨,
K046-3,一時的創外固定骨折治療術,BAG 30 14,部位が下腿骨,
K046-3,一時的創外固定骨折治療術,BBH 30 14,部位が足根骨,
K046-3,一時的創外固定骨折治療術,BBJ 30 14,部位が中足骨,
K046-3,一時的創外固定骨折治療術,BBK 30 14,部位が足趾骨,
K046-3,一時的創外固定骨折治療術,C11 30 14,部位が脊椎,
K046-3,一時的創外固定骨折治療術,C51 30 14,部位が骨盤骨,
K047,難治性骨折電磁波電気治療法（一連につき） ,B12 30 44,,
K047-2,難治性骨折超音波治療法（一連につき） ,B12 30 44,,
K047-3,超音波骨折治療法（一連につき） ,B12 30 44,,
K048 1,骨内異物（挿入物を含む。）除去術 頭蓋、顔面（複数切開を要するもの）  ,D74 17 00,,
K048 2,骨内異物（挿入物を含む。）除去術 その他の頭蓋、顔面、肩甲骨、上腕、大腿,B25 17 04,部位が肩甲骨,
K048 2,骨内異物（挿入物を含む。）除去術 その他の頭蓋、顔面、肩甲骨、上腕、大腿,B23 17 04,部位が上腕骨,
K048 2,骨内異物（挿入物を含む。）除去術 その他の頭蓋、顔面、肩甲骨、上腕、大腿,B94 17 04,部位が大腿骨,
K048 2,骨内異物（挿入物を含む。）除去術 その他の頭蓋、顔面、肩甲骨、上腕、大腿,D74 17 00,部位が頭蓋または顔面,
K048 3,骨内異物（挿入物を含む。）除去術 前腕、下腿,B44 17 04,部位が前腕骨,
K048 3,骨内異物（挿入物を含む。）除去術 前腕、下腿,BAG 17 04,部位が下腿骨,
K048 4,骨内異物（挿入物を含む。）除去術 鎖骨、膝蓋骨、手、足、指（手、足）その他,B74 17 04,部位が胸郭,
K048 4,骨内異物（挿入物を含む。）除去術 鎖骨、膝蓋骨、手、足、指（手、足）その他,B24 17 04,部位が鎖骨,
K048 4,骨内異物（挿入物を含む。）除去術 鎖骨、膝蓋骨、手、足、指（手、足）その他,B61 17 04,部位が手根骨,
K048 4,骨内異物（挿入物を含む。）除去術 鎖骨、膝蓋骨、手、足、指（手、足）その他,B68 17 04,部位が中手骨,
K048 4,骨内異物（挿入物を含む。）除去術 鎖骨、膝蓋骨、手、足、指（手、足）その他,B69 17 04,部位が手指骨,
K048 4,骨内異物（挿入物を含む。）除去術 鎖骨、膝蓋骨、手、足、指（手、足）その他,BAB 17 04,部位が膝蓋骨,
K048 4,骨内異物（挿入物を含む。）除去術 鎖骨、膝蓋骨、手、足、指（手、足）その他,BBH 17 04,部位が足根骨,
K048 4,骨内異物（挿入物を含む。）除去術 鎖骨、膝蓋骨、手、足、指（手、足）その他,BBJ 17 04,部位が中足骨,
K048 4,骨内異物（挿入物を含む。）除去術 鎖骨、膝蓋骨、手、足、指（手、足）その他,BBK 17 04,部位が足趾骨,
K049 1,骨部分切除術 肩甲骨、上腕、大腿,B25 11 04,部位が肩甲骨,
K049 1,骨部分切除術 肩甲骨、上腕、大腿,B23 11 04,部位が上腕骨,
K049 1,骨部分切除術 肩甲骨、上腕、大腿,B94 11 04,部位が大腿骨,
K049 2,骨部分切除術 前腕、下腿,B44 11 04,部位が前腕骨,
K049 2,骨部分切除術 前腕、下腿,BAG 11 04,部位が下腿骨,
K049 3,骨部分切除術 鎖骨、膝蓋骨、手、足、指（手、足）その他,B74 11 04,部位が胸郭,
K049 3,骨部分切除術 鎖骨、膝蓋骨、手、足、指（手、足）その他,B24 11 04,部位が鎖骨,
